triplet;kappa;theta;sigma;rho;price;err;exec_time
262;1.0000;0.1100;0.1400;-0.7500;0.127182;0.001858;110.94
263;1.0000;0.1100;0.1600;-0.7500;0.125396;0.001824;110.94
264;1.0000;0.1100;0.1800;-0.7500;0.124685;0.001795;110.94
265;1.0000;0.1100;0.2000;-0.7500;0.122323;0.001751;110.94
266;1.0000;0.1100;0.2200;-0.7500;0.120293;0.001729;110.94
267;1.0000;0.1100;0.2400;-0.7500;0.118983;0.001705;110.94
268;1.0000;0.1100;0.2600;-0.7500;0.118480;0.001687;110.94
269;1.0000;0.1100;0.2800;-0.7500;0.118708;0.001676;110.94
270;1.0000;0.1200;0.1000;-0.7500;0.131435;0.001963;110.94
271;1.0000;0.1200;0.1200;-0.7500;0.129121;0.001921;110.94
272;1.0000;0.1200;0.1400;-0.7500;0.128716;0.001889;110.94
273;1.0000;0.1200;0.1600;-0.7500;0.127951;0.001872;110.94
274;1.0000;0.1200;0.1800;-0.7500;0.127055;0.001842;110.94
275;1.0000;0.1200;0.2000;-0.7500;0.125202;0.001803;110.94
276;1.0000;0.1200;0.2200;-0.7500;0.123124;0.001768;110.94
277;1.0000;0.1200;0.2400;-0.7500;0.122195;0.001751;110.94
278;1.0000;0.1200;0.2600;-0.7500;0.119880;0.001720;110.94
279;1.0000;0.1200;0.2800;-0.7500;0.122033;0.001727;110.94
280;1.0000;0.1300;0.1000;-0.7500;0.131092;0.001964;110.94
281;1.0000;0.1300;0.1200;-0.7500;0.131369;0.001960;110.94
282;1.0000;0.1300;0.1400;-0.7500;0.129638;0.001924;110.94
283;1.0000;0.1300;0.1600;-0.7500;0.130688;0.001914;110.94
284;1.0000;0.1300;0.1800;-0.7500;0.128546;0.001867;110.94
285;1.0000;0.1300;0.2000;-0.7500;0.127507;0.001845;110.94
286;1.0000;0.1300;0.2200;-0.7500;0.125823;0.001816;110.94
287;1.0000;0.1300;0.2400;-0.7500;0.123624;0.001785;110.94
288;1.0000;0.1300;0.2600;-0.7500;0.124694;0.001783;110.94
289;1.0000;0.1300;0.2800;-0.7500;0.123983;0.001765;110.94
290;1.0000;0.1400;0.1000;-0.7500;0.134310;0.002012;110.94
291;1.0000;0.1400;0.1200;-0.7500;0.132958;0.001991;110.94
292;1.0000;0.1400;0.1400;-0.7500;0.133885;0.001987;110.94
293;1.0000;0.1400;0.1600;-0.7500;0.133315;0.001949;110.94
294;1.0000;0.1400;0.1800;-0.7500;0.132509;0.001935;110.94
295;1.0000;0.1400;0.2000;-0.7500;0.130046;0.001893;110.94
296;1.0000;0.1400;0.2200;-0.7500;0.129592;0.001879;110.94
297;1.0000;0.1400;0.2400;-0.7500;0.125166;0.001811;110.94
298;1.0000;0.1400;0.2600;-0.7500;0.126702;0.001824;110.94
299;1.0000;0.1400;0.2800;-0.7500;0.123989;0.001775;110.94
300;1.2500;0.0500;0.1000;-0.6500;0.110081;0.001627;110.94
301;1.2500;0.0500;0.1200;-0.6500;0.110495;0.001612;110.94
302;1.2500;0.0500;0.1400;-0.6500;0.109521;0.001585;110.94
303;1.2500;0.0500;0.1600;-0.6500;0.107317;0.001542;110.94
304;1.2500;0.0500;0.1800;-0.6500;0.106639;0.001526;110.94
305;1.2500;0.0500;0.2000;-0.6500;0.105850;0.001512;110.94
306;1.2500;0.0500;0.2200;-0.6500;0.104957;0.001493;110.94
307;1.2500;0.0500;0.2400;-0.6500;0.105336;0.001493;110.94
308;1.2500;0.0500;0.2600;-0.6500;0.106264;0.001487;110.94
309;1.2500;0.0500;0.2800;-0.6500;0.105493;0.001463;110.94
310;1.2500;0.0600;0.1000;-0.6500;0.113017;0.001672;110.94
311;1.2500;0.0600;0.1200;-0.6500;0.112785;0.001659;110.94
312;1.2500;0.0600;0.1400;-0.6500;0.112035;0.001631;110.94
313;1.2500;0.0600;0.1600;-0.6500;0.112116;0.001616;110.94
314;1.2500;0.0600;0.1800;-0.6500;0.110031;0.001582;110.94
315;1.2500;0.0600;0.2000;-0.6500;0.109302;0.001566;110.94
316;1.2500;0.0600;0.2200;-0.6500;0.107566;0.001539;110.94
317;1.2500;0.0600;0.2400;-0.6500;0.107666;0.001538;110.94
318;1.2500;0.0600;0.2600;-0.6500;0.108102;0.001519;110.94
319;1.2500;0.0600;0.2800;-0.6500;0.108255;0.001517;110.94
320;1.2500;0.0700;0.1000;-0.6500;0.117854;0.001740;110.94
321;1.2500;0.0700;0.1200;-0.6500;0.116178;0.001712;110.94
322;1.2500;0.0700;0.1400;-0.6500;0.115179;0.001685;110.94
323;1.2500;0.0700;0.1600;-0.6500;0.114185;0.001658;110.94
324;1.2500;0.0700;0.1800;-0.6500;0.113558;0.001634;110.94
325;1.2500;0.0700;0.2000;-0.6500;0.111465;0.001605;110.94
326;1.2500;0.0700;0.2200;-0.6500;0.109856;0.001586;110.94
327;1.2500;0.0700;0.2400;-0.6500;0.110129;0.001575;110.94
328;1.2500;0.0700;0.2600;-0.6500;0.110375;0.001576;110.94
329;1.2500;0.0700;0.2800;-0.6500;0.111926;0.001576;110.94
330;1.2500;0.0800;0.1000;-0.6500;0.117484;0.001753;110.94
331;1.2500;0.0800;0.1200;-0.6500;0.118220;0.001753;110.94
332;1.2500;0.0800;0.1400;-0.6500;0.119241;0.001742;110.94
333;1.2500;0.0800;0.1600;-0.6500;0.116831;0.001703;110.94
334;1.2500;0.0800;0.1800;-0.6500;0.117001;0.001698;110.94
335;1.2500;0.0800;0.2000;-0.6500;0.114455;0.001656;110.94
336;1.2500;0.0800;0.2200;-0.6500;0.113743;0.001640;110.94
337;1.2500;0.0800;0.2400;-0.6500;0.113751;0.001632;110.94
338;1.2500;0.0800;0.2600;-0.6500;0.113355;0.001618;110.94
339;1.2500;0.0800;0.2800;-0.6500;0.113287;0.001605;110.94
340;1.2500;0.0900;0.1000;-0.6500;0.123041;0.001845;110.94
341;1.2500;0.0900;0.1200;-0.6500;0.121547;0.001806;110.94
342;1.2500;0.0900;0.1400;-0.6500;0.120498;0.001774;110.94
343;1.2500;0.0900;0.1600;-0.6500;0.121059;0.001766;110.94
344;1.2500;0.0900;0.1800;-0.6500;0.118893;0.001732;110.94
345;1.2500;0.0900;0.2000;-0.6500;0.117955;0.001711;110.94
346;1.2500;0.0900;0.2200;-0.6500;0.117759;0.001699;110.94
347;1.2500;0.0900;0.2400;-0.6500;0.115326;0.001678;110.94
348;1.2500;0.0900;0.2600;-0.6500;0.116883;0.001676;110.94
349;1.2500;0.0900;0.2800;-0.6500;0.116158;0.001657;110.94
350;1.2500;0.1000;0.1000;-0.6500;0.123476;0.001865;110.94
351;1.2500;0.1000;0.1200;-0.6500;0.125772;0.001872;110.94
352;1.2500;0.1000;0.1400;-0.6500;0.124575;0.001851;110.94
353;1.2500;0.1000;0.1600;-0.6500;0.123619;0.001819;110.94
354;1.2500;0.1000;0.1800;-0.6500;0.122904;0.001802;110.94
355;1.2500;0.1000;0.2000;-0.6500;0.120594;0.001758;110.94
356;1.2500;0.1000;0.2200;-0.6500;0.119562;0.001740;110.94
357;1.2500;0.1000;0.2400;-0.6500;0.118582;0.001723;110.94
358;1.2500;0.1000;0.2600;-0.6500;0.119634;0.001724;110.94
359;1.2500;0.1000;0.2800;-0.6500;0.118353;0.001702;110.94
360;1.2500;0.1100;0.1000;-0.6500;0.127694;0.001924;110.94
361;1.2500;0.1100;0.1200;-0.6500;0.127236;0.001903;110.94
362;1.2500;0.1100;0.1400;-0.6500;0.126968;0.001898;110.94
363;1.2500;0.1100;0.1600;-0.6500;0.125655;0.001854;110.94
364;1.2500;0.1100;0.1800;-0.6500;0.126433;0.001860;110.94
365;1.2500;0.1100;0.2000;-0.6500;0.123732;0.001805;110.94
366;1.2500;0.1100;0.2200;-0.6500;0.121927;0.001781;110.94
367;1.2500;0.1100;0.2400;-0.6500;0.122588;0.001781;110.94
368;1.2500;0.1100;0.2600;-0.6500;0.121648;0.001762;110.94
369;1.2500;0.1100;0.2800;-0.6500;0.120779;0.001748;110.94
370;1.2500;0.1200;0.1000;-0.6500;0.130650;0.001982;110.94
371;1.2500;0.1200;0.1200;-0.6500;0.130244;0.001964;110.94
372;1.2500;0.1200;0.1400;-0.6500;0.128628;0.001920;110.94
